ADC Value,Rs (kOhms),Concentration (ppm)
147,268.57,7.29
144,274.38,6.95
147,268.57,7.29
148,266.69,7.40
146,270.48,7.17
146,270.48,7.17
146,270.48,7.17
153,257.65,7.99
149,264.83,7.51
156,252.50,8.35
144,274.38,6.95
151,261.19,7.75
149,264.83,7.51
152,259.41,7.87
146,270.48,7.17
145,272.41,7.06
146,270.48,7.17
142,278.38,6.73
144,274.38,6.95
145,272.41,7.06
155,254.19,8.23
147,268.57,7.29
148,266.69,7.40
149,264.83,7.51
147,268.57,7.29
146,270.48,7.17
147,268.57,7.29
149,264.83,7.51
147,268.57,7.29
143,276.36,6.84
147,268.57,7.29
151,261.19,7.75
144,274.38,6.95
148,266.69,7.40
167,235.21,9.77
145,272.41,7.06
142,278.38,6.73
151,261.19,7.75
154,255.91,8.11
144,274.38,6.95
141,280.43,6.62
144,274.38,6.95
143,276.36,6.84
143,276.36,6.84
142,278.38,6.73
149,264.83,7.51
148,266.69,7.40
143,276.36,6.84
145,272.41,7.06
144,274.38,6.95
146,270.48,7.17
143,276.36,6.84
141,280.43,6.62
145,272.41,7.06
149,264.83,7.51
146,270.48,7.17
147,268.57,7.29
157,250.83,8.47
147,268.57,7.29
136,291.10,6.10
140,282.50,6.51
149,264.83,7.51
146,270.48,7.17
146,270.48,7.17
145,272.41,7.06
144,274.38,6.95
146,270.48,7.17
146,270.48,7.17
152,259.41,7.87
152,259.41,7.87
147,268.57,7.29
145,272.41,7.06
145,272.41,7.06
146,270.48,7.17
146,270.48,7.17
144,274.38,6.95
146,270.48,7.17
147,268.57,7.29
146,270.48,7.17
142,278.38,6.73
143,276.36,6.84
147,268.57,7.29
150,263.00,7.63
147,268.57,7.29
148,266.69,7.40
148,266.69,7.40
141,280.43,6.62
150,263.00,7.63
145,272.41,7.06
148,266.69,7.40
146,270.48,7.17
149,264.83,7.51
143,276.36,6.84
146,270.48,7.17
136,291.10,6.10
149,264.83,7.51
142,278.38,6.73
145,272.41,7.06
146,270.48,7.17
146,270.48,7.17
143,276.36,6.84
141,280.43,6.62
147,268.57,7.29
148,266.69,7.40
144,274.38,6.95
144,274.38,6.95
140,282.50,6.51
141,280.43,6.62
148,266.69,7.40
145,272.41,7.06
146,270.48,7.17
146,270.48,7.17
146,270.48,7.17
146,270.48,7.17
146,270.48,7.17
145,272.41,7.06
153,257.65,7.99
144,274.38,6.95
148,266.69,7.40
146,270.48,7.17
148,266.69,7.40
147,268.57,7.29
147,268.57,7.29
143,276.36,6.84
141,280.43,6.62
140,282.50,6.51
142,278.38,6.73
145,272.41,7.06
148,266.69,7.40
155,254.19,8.23
142,278.38,6.73
142,278.38,6.73
145,272.41,7.06
146,270.48,7.17
149,264.83,7.51
144,274.38,6.95
148,266.69,7.40
145,272.41,7.06
147,268.57,7.29
147,268.57,7.29
144,274.38,6.95
141,280.43,6.62
148,266.69,7.40
143,276.36,6.84
142,278.38,6.73
140,282.50,6.51
145,272.41,7.06
148,266.69,7.40
147,268.57,7.29
149,264.83,7.51
147,268.57,7.29
148,266.69,7.40
146,270.48,7.17
146,270.48,7.17
141,280.43,6.62
148,266.69,7.40
141,280.43,6.62
146,270.48,7.17
145,272.41,7.06
145,272.41,7.06
145,272.41,7.06
148,266.69,7.40
146,270.48,7.17
149,264.83,7.51
145,272.41,7.06
145,272.41,7.06
146,270.48,7.17
144,274.38,6.95
155,254.19,8.23
150,263.00,7.63
145,272.41,7.06
142,278.38,6.73
149,264.83,7.51
148,266.69,7.40
148,266.69,7.40
142,278.38,6.73
142,278.38,6.73
156,252.50,8.35
152,259.41,7.87
145,272.41,7.06
144,274.38,6.95
146,270.48,7.17
148,266.69,7.40
145,272.41,7.06
145,272.41,7.06
150,263.00,7.63
146,270.48,7.17
145,272.41,7.06
145,272.41,7.06
142,278.38,6.73
145,272.41,7.06
149,264.83,7.51
144,274.38,6.95
140,282.50,6.51
141,280.43,6.62
141,280.43,6.62
145,272.41,7.06
146,270.48,7.17
145,272.41,7.06
140,282.50,6.51
148,266.69,7.40
146,270.48,7.17
147,268.57,7.29
144,274.38,6.95
155,254.19,8.23
145,272.41,7.06
145,272.41,7.06
146,270.48,7.17
145,272.41,7.06
154,255.91,8.11
148,266.69,7.40
144,274.38,6.95
149,264.83,7.51
145,272.41,7.06
141,280.43,6.62
146,270.48,7.17
147,268.57,7.29
146,270.48,7.17
148,266.69,7.40
148,266.69,7.40
140,282.50,6.51
141,280.43,6.62
148,266.69,7.40
141,280.43,6.62
147,268.57,7.29
148,266.69,7.40
144,274.38,6.95
141,280.43,6.62
145,272.41,7.06
147,268.57,7.29
148,266.69,7.40
146,270.48,7.17
145,272.41,7.06
146,270.48,7.17
152,259.41,7.87
145,272.41,7.06
142,278.38,6.73
146,270.48,7.17
148,266.69,7.40
142,278.38,6.73
145,272.41,7.06
146,270.48,7.17
146,270.48,7.17
146,270.48,7.17
148,266.69,7.40
147,268.57,7.29
141,280.43,6.62
147,268.57,7.29
144,274.38,6.95
145,272.41,7.06
148,266.69,7.40
142,278.38,6.73
148,266.69,7.40
146,270.48,7.17
141,280.43,6.62
145,272.41,7.06
146,270.48,7.17
145,272.41,7.06
156,252.50,8.35
148,266.69,7.40
145,272.41,7.06
144,274.38,6.95
148,266.69,7.40
149,264.83,7.51
149,264.83,7.51
141,280.43,6.62
147,268.57,7.29
141,280.43,6.62
147,268.57,7.29
148,266.69,7.40
140,282.50,6.51
148,266.69,7.40
147,268.57,7.29
145,272.41,7.06
140,282.50,6.51
148,266.69,7.40
145,272.41,7.06
145,272.41,7.06
145,272.41,7.06
145,272.41,7.06
143,276.36,6.84
141,280.43,6.62
148,266.69,7.40
144,274.38,6.95
148,266.69,7.40
139,284.60,6.41
142,278.38,6.73
145,272.41,7.06
142,278.38,6.73
154,255.91,8.11
147,268.57,7.29
141,280.43,6.62
142,278.38,6.73
146,270.48,7.17
147,268.57,7.29
146,270.48,7.17
148,266.69,7.40
144,274.38,6.95
145,272.41,7.06
145,272.41,7.06
141,280.43,6.62
146,270.48,7.17
146,270.48,7.17
148,266.69,7.40
141,280.43,6.62
146,270.48,7.17
146,270.48,7.17
147,268.57,7.29
140,282.50,6.51
148,266.69,7.40
145,272.41,7.06
144,274.38,6.95
140,282.50,6.51
139,284.60,6.41
148,266.69,7.40
146,270.48,7.17
146,270.48,7.17
145,272.41,7.06
145,272.41,7.06
142,278.38,6.73
147,268.57,7.29
145,272.41,7.06
145,272.41,7.06
145,272.41,7.06
144,274.38,6.95
144,274.38,6.95
141,280.43,6.62
146,270.48,7.17
153,257.65,7.99
142,278.38,6.73
145,272.41,7.06
146,270.48,7.17
144,274.38,6.95
141,280.43,6.62
147,268.57,7.29
144,274.38,6.95
146,270.48,7.17
141,280.43,6.62
147,268.57,7.29
147,268.57,7.29
149,264.83,7.51
141,280.43,6.62
140,282.50,6.51
145,272.41,7.06
148,266.69,7.40
146,270.48,7.17
145,272.41,7.06
141,280.43,6.62
146,270.48,7.17
149,264.83,7.51
145,272.41,7.06
142,278.38,6.73
145,272.41,7.06
140,282.50,6.51
145,272.41,7.06
148,266.69,7.40
145,272.41,7.06
141,280.43,6.62
145,272.41,7.06
149,264.83,7.51
145,272.41,7.06
146,270.48,7.17
144,274.38,6.95
145,272.41,7.06
145,272.41,7.06
147,268.57,7.29
155,254.19,8.23
152,259.41,7.87
145,272.41,7.06
141,280.43,6.62
145,272.41,7.06
145,272.41,7.06
144,274.38,6.95
140,282.50,6.51
140,282.50,6.51
150,263.00,7.63
142,278.38,6.73
145,272.41,7.06
148,266.69,7.40
144,274.38,6.95
147,268.57,7.29
148,266.69,7.40
150,263.00,7.63
144,274.38,6.95
147,268.57,7.29
144,274.38,6.95
142,278.38,6.73
144,274.38,6.95
144,274.38,6.95
150,263.00,7.63
141,280.43,6.62
153,257.65,7.99
141,280.43,6.62
144,274.38,6.95
146,270.48,7.17
146,270.48,7.17
137,288.91,6.20
142,278.38,6.73
153,257.65,7.99
148,266.69,7.40
145,272.41,7.06
144,274.38,6.95
144,274.38,6.95
158,249.18,8.60
142,278.38,6.73
144,274.38,6.95
145,272.41,7.06
146,270.48,7.17
141,280.43,6.62
142,278.38,6.73
146,270.48,7.17
146,270.48,7.17
147,268.57,7.29
156,252.50,8.35
146,270.48,7.17
156,252.50,8.35
143,276.36,6.84
138,286.74,6.30
147,268.57,7.29
152,259.41,7.87
150,263.00,7.63
140,282.50,6.51
145,272.41,7.06
144,274.38,6.95
141,280.43,6.62
141,280.43,6.62
147,268.57,7.29
148,266.69,7.40
142,278.38,6.73
148,266.69,7.40
144,274.38,6.95
144,274.38,6.95
145,272.41,7.06
145,272.41,7.06
145,272.41,7.06
154,255.91,8.11
146,270.48,7.17
144,274.38,6.95
144,274.38,6.95
145,272.41,7.06
144,274.38,6.95
144,274.38,6.95
147,268.57,7.29
140,282.50,6.51
144,274.38,6.95
142,278.38,6.73
153,257.65,7.99
144,274.38,6.95
141,280.43,6.62
146,270.48,7.17
144,274.38,6.95
141,280.43,6.62
143,276.36,6.84
138,286.74,6.30
144,274.38,6.95
152,259.41,7.87
144,274.38,6.95
140,282.50,6.51
145,272.41,7.06
139,284.60,6.41
137,288.91,6.20
138,286.74,6.30
147,268.57,7.29
139,284.60,6.41
151,261.19,7.75
141,280.43,6.62
146,270.48,7.17
144,274.38,6.95
145,272.41,7.06
144,274.38,6.95
137,288.91,6.20
144,274.38,6.95
146,270.48,7.17
148,266.69,7.40
145,272.41,7.06
144,274.38,6.95
146,270.48,7.17
147,268.57,7.29
152,259.41,7.87
141,280.43,6.62
142,278.38,6.73
146,270.48,7.17
145,272.41,7.06
144,274.38,6.95
144,274.38,6.95
144,274.38,6.95
142,278.38,6.73
145,272.41,7.06
144,274.38,6.95
144,274.38,6.95
140,282.50,6.51
144,274.38,6.95
148,266.69,7.40
141,280.43,6.62
142,278.38,6.73
146,270.48,7.17
144,274.38,6.95
140,282.50,6.51
144,274.38,6.95
140,282.50,6.51
146,270.48,7.17
143,276.36,6.84
143,276.36,6.84
144,274.38,6.95
146,270.48,7.17
145,272.41,7.06
144,274.38,6.95
145,272.41,7.06
144,274.38,6.95
141,280.43,6.62
144,274.38,6.95
144,274.38,6.95
139,284.60,6.41
144,274.38,6.95
144,274.38,6.95
144,274.38,6.95
144,274.38,6.95
144,274.38,6.95
145,272.41,7.06
143,276.36,6.84
141,280.43,6.62
144,274.38,6.95
144,274.38,6.95
146,270.48,7.17
144,274.38,6.95
143,276.36,6.84
146,270.48,7.17
140,282.50,6.51
144,274.38,6.95
147,268.57,7.29
146,270.48,7.17
145,272.41,7.06
144,274.38,6.95
142,278.38,6.73
138,286.74,6.30
145,272.41,7.06
144,274.38,6.95
144,274.38,6.95
144,274.38,6.95
145,272.41,7.06
141,280.43,6.62
153,257.65,7.99
142,278.38,6.73
145,272.41,7.06
140,282.50,6.51
151,261.19,7.75
143,276.36,6.84
145,272.41,7.06
144,274.38,6.95
144,274.38,6.95
145,272.41,7.06
144,274.38,6.95
143,276.36,6.84
143,276.36,6.84
144,274.38,6.95
144,274.38,6.95
144,274.38,6.95
149,264.83,7.51
144,274.38,6.95
138,286.74,6.30
141,280.43,6.62
147,268.57,7.29
145,272.41,7.06
146,270.48,7.17
144,274.38,6.95
139,284.60,6.41
146,270.48,7.17
129,307.44,5.40
144,274.38,6.95
145,272.41,7.06
140,282.50,6.51
139,284.60,6.41
141,280.43,6.62
146,270.48,7.17
143,276.36,6.84
145,272.41,7.06
143,276.36,6.84
144,274.38,6.95
138,286.74,6.30
147,268.57,7.29
144,274.38,6.95
144,274.38,6.95
138,286.74,6.30
144,274.38,6.95
144,274.38,6.95
144,274.38,6.95
144,274.38,6.95
141,280.43,6.62
144,274.38,6.95
145,272.41,7.06
143,276.36,6.84
139,284.60,6.41
144,274.38,6.95
142,278.38,6.73
144,274.38,6.95
153,257.65,7.99
142,278.38,6.73
144,274.38,6.95
145,272.41,7.06
144,274.38,6.95
149,264.83,7.51
142,278.38,6.73
142,278.38,6.73
146,270.48,7.17
145,272.41,7.06
144,274.38,6.95
147,268.57,7.29
144,274.38,6.95
145,272.41,7.06
144,274.38,6.95
148,266.69,7.40
140,282.50,6.51
145,272.41,7.06
144,274.38,6.95
144,274.38,6.95
140,282.50,6.51
149,264.83,7.51
143,276.36,6.84
144,274.38,6.95
144,274.38,6.95
139,284.60,6.41
144,274.38,6.95
146,270.48,7.17
146,270.48,7.17
141,280.43,6.62
144,274.38,6.95
144,274.38,6.95
144,274.38,6.95
145,272.41,7.06
146,270.48,7.17
153,257.65,7.99
138,286.74,6.30
146,270.48,7.17
146,270.48,7.17
143,276.36,6.84
146,270.48,7.17
140,282.50,6.51
140,282.50,6.51
145,272.41,7.06
130,305.00,5.50
145,272.41,7.06
144,274.38,6.95
141,280.43,6.62
152,259.41,7.87
146,270.48,7.17
144,274.38,6.95
143,276.36,6.84
141,280.43,6.62
144,274.38,6.95
140,282.50,6.51
139,284.60,6.41
137,288.91,6.20
144,274.38,6.95
141,280.43,6.62
143,276.36,6.84
145,272.41,7.06
141,280.43,6.62
145,272.41,7.06
140,282.50,6.51
152,259.41,7.87
147,268.57,7.29
142,278.38,6.73
147,268.57,7.29
144,274.38,6.95
147,268.57,7.29
140,282.50,6.51
144,274.38,6.95
144,274.38,6.95
148,266.69,7.40
144,274.38,6.95
144,274.38,6.95
145,272.41,7.06
142,278.38,6.73
138,286.74,6.30
141,280.43,6.62
140,282.50,6.51
144,274.38,6.95
145,272.41,7.06
144,274.38,6.95
144,274.38,6.95
152,259.41,7.87
144,274.38,6.95
141,280.43,6.62
144,274.38,6.95
137,288.91,6.20
142,278.38,6.73
140,282.50,6.51
147,268.57,7.29
146,270.48,7.17
146,270.48,7.17
145,272.41,7.06
145,272.41,7.06
141,280.43,6.62
143,276.36,6.84
143,276.36,6.84
141,280.43,6.62
144,274.38,6.95
145,272.41,7.06
138,286.74,6.30
144,274.38,6.95
139,284.60,6.41
145,272.41,7.06
143,276.36,6.84
147,268.57,7.29
144,274.38,6.95
143,276.36,6.84
142,278.38,6.73
143,276.36,6.84
151,261.19,7.75
144,274.38,6.95
144,274.38,6.95
146,270.48,7.17
144,274.38,6.95
144,274.38,6.95
144,274.38,6.95
140,282.50,6.51
140,282.50,6.51
142,278.38,6.73
144,274.38,6.95
139,284.60,6.41
142,278.38,6.73
140,282.50,6.51
136,291.10,6.10
148,266.69,7.40
152,259.41,7.87
143,276.36,6.84
144,274.38,6.95
145,272.41,7.06
148,266.69,7.40
144,274.38,6.95
144,274.38,6.95
143,276.36,6.84
143,276.36,6.84
145,272.41,7.06
141,280.43,6.62
144,274.38,6.95
144,274.38,6.95
141,280.43,6.62
144,274.38,6.95
144,274.38,6.95
144,274.38,6.95
142,278.38,6.73
138,286.74,6.30
149,264.83,7.51
139,284.60,6.41
143,276.36,6.84
144,274.38,6.95
144,274.38,6.95
152,259.41,7.87
144,274.38,6.95
150,263.00,7.63
142,278.38,6.73
144,274.38,6.95
144,274.38,6.95
140,282.50,6.51
145,272.41,7.06
144,274.38,6.95
144,274.38,6.95
138,286.74,6.30
140,282.50,6.51
142,278.38,6.73
149,264.83,7.51
137,288.91,6.20
142,278.38,6.73
146,270.48,7.17
144,274.38,6.95
144,274.38,6.95
133,297.89,5.79
140,282.50,6.51
139,284.60,6.41
144,274.38,6.95
144,274.38,6.95
146,270.48,7.17
146,270.48,7.17
138,286.74,6.30
144,274.38,6.95
144,274.38,6.95
141,280.43,6.62
145,272.41,7.06
138,286.74,6.30
133,297.89,5.79
146,270.48,7.17
144,274.38,6.95
153,257.65,7.99
144,274.38,6.95
143,276.36,6.84
138,286.74,6.30
144,274.38,6.95
145,272.41,7.06
146,270.48,7.17
140,282.50,6.51
143,276.36,6.84
149,264.83,7.51
153,257.65,7.99
139,284.60,6.41
145,272.41,7.06
152,259.41,7.87
138,286.74,6.30
138,286.74,6.30
142,278.38,6.73
143,276.36,6.84
143,276.36,6.84
138,286.74,6.30
140,282.50,6.51
144,274.38,6.95
143,276.36,6.84
137,288.91,6.20
145,272.41,7.06
140,282.50,6.51
145,272.41,7.06
143,276.36,6.84
140,282.50,6.51
141,280.43,6.62
144,274.38,6.95
145,272.41,7.06
143,276.36,6.84
141,280.43,6.62
145,272.41,7.06
137,288.91,6.20
152,259.41,7.87
144,274.38,6.95
144,274.38,6.95
142,278.38,6.73
145,272.41,7.06
142,278.38,6.73
142,278.38,6.73
145,272.41,7.06
138,286.74,6.30
142,278.38,6.73
144,274.38,6.95
143,276.36,6.84
142,278.38,6.73
143,276.36,6.84
150,263.00,7.63
144,274.38,6.95
142,278.38,6.73
149,264.83,7.51
145,272.41,7.06
151,261.19,7.75
142,278.38,6.73
144,274.38,6.95
142,278.38,6.73
142,278.38,6.73
152,259.41,7.87
140,282.50,6.51
142,278.38,6.73
142,278.38,6.73
144,274.38,6.95
140,282.50,6.51
143,276.36,6.84
149,264.83,7.51
144,274.38,6.95
145,272.41,7.06
138,286.74,6.30
145,272.41,7.06
143,276.36,6.84
137,288.91,6.20
152,259.41,7.87
151,261.19,7.75
137,288.91,6.20
141,280.43,6.62
143,276.36,6.84
144,274.38,6.95
142,278.38,6.73
137,288.91,6.20
145,272.41,7.06
144,274.38,6.95
148,266.69,7.40
144,274.38,6.95
143,276.36,6.84
146,270.48,7.17
142,278.38,6.73
138,286.74,6.30
145,272.41,7.06
144,274.38,6.95
144,274.38,6.95
139,284.60,6.41
144,274.38,6.95
142,278.38,6.73
138,286.74,6.30
144,274.38,6.95
140,282.50,6.51
142,278.38,6.73
144,274.38,6.95
143,276.36,6.84
144,274.38,6.95
147,268.57,7.29
142,278.38,6.73
144,274.38,6.95
140,282.50,6.51
144,274.38,6.95
142,278.38,6.73
144,274.38,6.95
142,278.38,6.73
144,274.38,6.95
139,284.60,6.41
144,274.38,6.95
142,278.38,6.73
152,259.41,7.87
144,274.38,6.95
145,272.41,7.06
143,276.36,6.84
144,274.38,6.95
143,276.36,6.84
143,276.36,6.84
146,270.48,7.17
143,276.36,6.84
123,322.93,4.85
139,284.60,6.41
144,274.38,6.95
145,272.41,7.06
149,264.83,7.51
144,274.38,6.95
142,278.38,6.73
141,280.43,6.62
149,264.83,7.51
141,280.43,6.62
136,291.10,6.10
133,297.89,5.79
144,274.38,6.95
144,274.38,6.95
138,286.74,6.30
149,264.83,7.51
145,272.41,7.06
142,278.38,6.73
144,274.38,6.95
144,274.38,6.95
143,276.36,6.84
144,274.38,6.95
139,284.60,6.41
143,276.36,6.84
143,276.36,6.84
143,276.36,6.84
137,288.91,6.20
144,274.38,6.95
141,280.43,6.62
143,276.36,6.84
143,276.36,6.84
144,274.38,6.95
145,272.41,7.06
144,274.38,6.95
144,274.38,6.95
137,288.91,6.20
152,259.41,7.87
145,272.41,7.06
138,286.74,6.30
140,282.50,6.51
142,278.38,6.73
139,284.60,6.41
137,288.91,6.20
144,274.38,6.95
137,288.91,6.20
217,178.71,17.93
219,176.99,18.32
218,177.84,18.12
203,191.72,15.35
194,201.08,13.82
190,205.53,13.16
182,215.00,11.91
176,222.67,11.03
171,229.47,10.32
168,233.75,9.90
162,242.78,9.11
160,245.94,8.85
161,244.35,8.98
154,255.91,8.11
156,252.50,8.35
151,261.19,7.75
153,257.65,7.99
148,266.69,7.40
152,259.41,7.87
151,261.19,7.75
150,263.00,7.63
152,259.41,7.87
145,272.41,7.06
153,257.65,7.99
149,264.83,7.51
143,276.36,6.84
143,276.36,6.84
142,278.38,6.73
146,270.48,7.17
148,266.69,7.40
146,270.48,7.17
148,266.69,7.40
142,278.38,6.73
148,266.69,7.40
145,272.41,7.06
145,272.41,7.06
147,268.57,7.29
147,268.57,7.29
145,272.41,7.06
139,284.60,6.41
140,282.50,6.51
141,280.43,6.62
141,280.43,6.62
145,272.41,7.06
145,272.41,7.06
154,255.91,8.11
148,266.69,7.40
143,276.36,6.84
140,282.50,6.51
146,270.48,7.17
145,272.41,7.06
143,276.36,6.84
145,272.41,7.06
145,272.41,7.06
145,272.41,7.06
144,274.38,6.95
145,272.41,7.06
144,274.38,6.95
145,272.41,7.06
141,280.43,6.62
149,264.83,7.51
146,270.48,7.17
145,272.41,7.06
145,272.41,7.06
142,278.38,6.73
144,274.38,6.95
145,272.41,7.06
144,274.38,6.95
138,286.74,6.30
144,274.38,6.95
144,274.38,6.95
141,280.43,6.62
140,282.50,6.51
140,282.50,6.51
145,272.41,7.06
139,284.60,6.41
142,278.38,6.73
144,274.38,6.95
139,284.60,6.41
145,272.41,7.06
144,274.38,6.95
144,274.38,6.95
148,266.69,7.40
139,284.60,6.41
141,280.43,6.62
143,276.36,6.84
143,276.36,6.84
144,274.38,6.95
151,261.19,7.75
142,278.38,6.73
141,280.43,6.62
144,274.38,6.95
143,276.36,6.84
144,274.38,6.95
145,272.41,7.06
141,280.43,6.62
143,276.36,6.84
144,274.38,6.95
142,278.38,6.73
145,272.41,7.06
144,274.38,6.95
143,276.36,6.84
143,276.36,6.84
138,286.74,6.30
144,274.38,6.95
148,266.69,7.40
153,257.65,7.99
144,274.38,6.95
142,278.38,6.73
140,282.50,6.51
141,280.43,6.62
139,284.60,6.41
144,274.38,6.95
144,274.38,6.95
143,276.36,6.84
145,272.41,7.06
152,259.41,7.87
144,274.38,6.95
140,282.50,6.51
144,274.38,6.95
145,272.41,7.06
142,278.38,6.73
143,276.36,6.84
138,286.74,6.30
144,274.38,6.95
144,274.38,6.95
141,280.43,6.62
144,274.38,6.95
143,276.36,6.84
145,272.41,7.06
144,274.38,6.95
141,280.43,6.62
145,272.41,7.06
140,282.50,6.51
144,274.38,6.95
144,274.38,6.95
139,284.60,6.41
142,278.38,6.73
142,278.38,6.73
151,261.19,7.75
141,280.43,6.62
140,282.50,6.51
142,278.38,6.73
143,276.36,6.84
146,270.48,7.17
143,276.36,6.84
145,272.41,7.06
144,274.38,6.95
143,276.36,6.84
143,276.36,6.84
145,272.41,7.06
148,266.69,7.40
144,274.38,6.95
146,270.48,7.17
145,272.41,7.06
145,272.41,7.06
151,261.19,7.75
139,284.60,6.41
143,276.36,6.84
138,286.74,6.30
139,284.60,6.41
145,272.41,7.06
140,282.50,6.51
143,276.36,6.84
144,274.38,6.95
145,272.41,7.06
145,272.41,7.06
144,274.38,6.95
142,278.38,6.73
136,291.10,6.10
142,278.38,6.73
142,278.38,6.73
144,274.38,6.95
140,282.50,6.51
140,282.50,6.51
142,278.38,6.73
141,280.43,6.62
152,259.41,7.87
144,274.38,6.95
139,284.60,6.41
142,278.38,6.73
143,276.36,6.84
145,272.41,7.06
141,280.43,6.62
142,278.38,6.73
141,280.43,6.62
151,261.19,7.75
144,274.38,6.95
143,276.36,6.84
142,278.38,6.73
140,282.50,6.51
143,276.36,6.84
138,286.74,6.30
142,278.38,6.73
143,276.36,6.84
142,278.38,6.73
144,274.38,6.95
138,286.74,6.30
147,268.57,7.29
148,266.69,7.40
138,286.74,6.30
144,274.38,6.95
142,278.38,6.73
144,274.38,6.95
143,276.36,6.84
142,278.38,6.73
138,286.74,6.30
142,278.38,6.73
142,278.38,6.73
139,284.60,6.41
144,274.38,6.95
125,317.60,5.03
143,276.36,6.84
151,261.19,7.75
142,278.38,6.73
142,278.38,6.73
142,278.38,6.73
144,274.38,6.95
145,272.41,7.06
154,255.91,8.11
151,261.19,7.75
138,286.74,6.30
142,278.38,6.73
136,291.10,6.10
137,288.91,6.20
149,264.83,7.51
138,286.74,6.30
143,276.36,6.84
141,280.43,6.62
141,280.43,6.62
140,282.50,6.51
140,282.50,6.51
144,274.38,6.95
137,288.91,6.20
140,282.50,6.51
138,286.74,6.30
142,278.38,6.73
151,261.19,7.75
142,278.38,6.73
142,278.38,6.73
141,280.43,6.62
143,276.36,6.84
144,274.38,6.95
142,278.38,6.73
141,280.43,6.62
143,276.36,6.84
142,278.38,6.73
142,278.38,6.73
141,280.43,6.62
144,274.38,6.95
147,268.57,7.29
144,274.38,6.95
140,282.50,6.51
137,288.91,6.20
138,286.74,6.30
143,276.36,6.84
138,286.74,6.30
139,284.60,6.41
141,280.43,6.62
138,286.74,6.30
144,274.38,6.95
137,288.91,6.20
148,266.69,7.40
141,280.43,6.62
142,278.38,6.73
139,284.60,6.41
141,280.43,6.62
142,278.38,6.73
143,276.36,6.84
139,284.60,6.41
141,280.43,6.62
144,274.38,6.95
139,284.60,6.41
137,288.91,6.20
137,288.91,6.20
144,274.38,6.95
141,280.43,6.62
142,278.38,6.73
140,282.50,6.51
141,280.43,6.62
144,274.38,6.95
144,274.38,6.95
141,280.43,6.62
145,272.41,7.06
145,272.41,7.06
141,280.43,6.62
145,272.41,7.06
141,280.43,6.62
141,280.43,6.62
148,266.69,7.40
141,280.43,6.62
142,278.38,6.73
138,286.74,6.30
141,280.43,6.62
136,291.10,6.10
142,278.38,6.73
145,272.41,7.06
143,276.36,6.84
141,280.43,6.62
140,282.50,6.51
142,278.38,6.73
140,282.50,6.51
139,284.60,6.41
140,282.50,6.51
143,276.36,6.84
141,280.43,6.62
153,257.65,7.99
136,291.10,6.10
137,288.91,6.20
140,282.50,6.51
141,280.43,6.62
138,286.74,6.30
142,278.38,6.73
143,276.36,6.84
142,278.38,6.73
133,297.89,5.79
135,293.33,5.99
137,288.91,6.20
136,291.10,6.10
135,293.33,5.99
141,280.43,6.62
140,282.50,6.51
140,282.50,6.51
142,278.38,6.73
149,264.83,7.51
141,280.43,6.62
143,276.36,6.84
140,282.50,6.51
141,280.43,6.62
140,282.50,6.51
135,293.33,5.99
139,284.60,6.41
140,282.50,6.51
137,288.91,6.20
137,288.91,6.20
140,282.50,6.51
142,278.38,6.73
143,276.36,6.84
141,280.43,6.62
140,282.50,6.51
140,282.50,6.51
143,276.36,6.84
137,288.91,6.20
136,291.10,6.10
139,284.60,6.41
140,282.50,6.51
142,278.38,6.73
139,284.60,6.41
141,280.43,6.62
140,282.50,6.51
140,282.50,6.51
140,282.50,6.51
136,291.10,6.10
141,280.43,6.62
139,284.60,6.41
141,280.43,6.62
141,280.43,6.62
139,284.60,6.41
149,264.83,7.51
139,284.60,6.41
149,264.83,7.51
140,282.50,6.51
141,280.43,6.62
140,282.50,6.51
141,280.43,6.62
137,288.91,6.20
141,280.43,6.62
140,282.50,6.51
142,278.38,6.73
140,282.50,6.51
148,266.69,7.40
136,291.10,6.10
141,280.43,6.62
145,272.41,7.06
141,280.43,6.62
141,280.43,6.62
141,280.43,6.62
144,274.38,6.95
142,278.38,6.73
141,280.43,6.62
136,291.10,6.10
150,263.00,7.63
136,291.10,6.10
141,280.43,6.62
146,270.48,7.17
141,280.43,6.62
144,274.38,6.95
141,280.43,6.62
136,291.10,6.10
140,282.50,6.51
142,278.38,6.73
132,300.23,5.69
138,286.74,6.30
140,282.50,6.51
140,282.50,6.51
139,284.60,6.41
137,288.91,6.20
137,288.91,6.20
136,291.10,6.10
141,280.43,6.62
136,291.10,6.10
142,278.38,6.73
141,280.43,6.62
137,288.91,6.20
141,280.43,6.62
142,278.38,6.73
140,282.50,6.51
140,282.50,6.51
140,282.50,6.51
141,280.43,6.62
140,282.50,6.51
142,278.38,6.73
141,280.43,6.62
140,282.50,6.51
140,282.50,6.51
142,278.38,6.73
142,278.38,6.73
142,278.38,6.73
142,278.38,6.73
136,291.10,6.10
140,282.50,6.51
143,276.36,6.84
140,282.50,6.51
141,280.43,6.62
142,278.38,6.73
139,284.60,6.41
142,278.38,6.73
136,291.10,6.10
149,264.83,7.51
140,282.50,6.51
135,293.33,5.99
140,282.50,6.51
140,282.50,6.51
141,280.43,6.62
140,282.50,6.51
141,280.43,6.62
138,286.74,6.30
146,270.48,7.17
140,282.50,6.51
134,295.60,5.89
139,284.60,6.41
138,286.74,6.30
141,280.43,6.62
141,280.43,6.62
139,284.60,6.41
