Temperature (°C),Pressure (Pa),Humidity (%),Gas Resistance (Ohms),IAQ Score
29.25,93453.50,48.85,152536.56,20.00
29.24,93456.23,48.83,153518.86,20.00
29.24,93455.33,48.83,153518.86,20.00
29.39,93459.12,48.57,152815.94,20.00
29.39,93459.46,48.55,153518.86,20.00
29.39,93459.33,48.50,152676.11,20.00
29.38,93460.41,48.54,152536.56,20.00
29.38,93460.41,48.55,152536.56,20.00
29.38,93459.66,48.51,152536.56,20.00
28.95,93488.96,51.76,83661.72,25.00
29.01,93488.19,51.60,84168.09,25.00
29.66,94467.91,60.27,59246.12,45.00
30.43,94464.52,60.99,112298.12,45.00
30.48,94465.23,61.65,116695.80,50.00
30.61,94464.75,62.28,122973.48,50.00
32.25,94410.46,58.81,112829.62,45.00
32.12,94383.05,58.55,109139.96,40.00
32.08,94382.95,57.14,110733.24,40.00
30.57,94369.70,56.93,83998.62,40.00
31.16,94362.74,59.52,110513.24,45.00
31.21,94363.23,59.48,110367.06,45.00
31.25,94363.53,59.51,109426.23,45.00
31.27,94362.54,59.22,109858.45,45.00
30.76,94351.56,57.56,81218.61,40.00
29.68,94336.48,56.68,70750.52,35.00
29.69,94334.27,57.02,70214.68,40.00
30.02,94335.27,59.11,67817.73,40.00
30.15,94325.32,57.87,68038.93,40.00
30.24,94323.45,58.18,67054.70,40.00
30.24,94320.02,58.17,67162.65,40.00
29.88,94300.09,58.73,60099.61,40.00
31.41,94275.57,58.38,103649.07,40.00
30.31,94263.77,57.44,68205.79,40.00
30.92,94264.30,57.71,76949.15,40.00
30.93,94264.32,57.59,77593.19,40.00
30.42,94259.10,57.16,67597.95,40.00
29.57,94251.51,58.01,56440.76,40.00
31.70,94250.07,57.34,103264.23,40.00
31.01,94250.55,56.31,78914.14,35.00
30.99,94247.95,56.31,79063.70,35.00
30.37,94249.40,56.36,69052.48,35.00
30.92,94248.77,56.12,79213.82,35.00
30.37,94247.17,57.10,68150.08,40.00
30.37,94246.18,57.16,68094.46,40.00
30.37,94246.70,57.16,67872.89,40.00
29.92,94243.66,57.71,61201.70,40.00
29.92,94243.85,57.52,61246.63,40.00
29.87,94243.48,57.31,61699.52,40.00
29.44,94240.10,57.94,57649.66,40.00
31.65,94236.59,57.07,105217.53,40.00
30.92,94237.03,56.17,80825.23,35.00
